Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2024-05-02 16:12:00,22,51.6
2024-05-02 16:13:00,22.1,51.3
2024-05-02 16:14:00,22,51.1
2024-05-02 16:15:00,22,51.6
2024-05-02 16:16:00,22,51.7
2024-05-02 16:17:00,21.9,51.8
2024-05-02 16:18:00,21.8,51.9
2024-05-02 16:19:00,21.7,52.2
2024-05-02 16:20:00,21.7,52.3
2024-05-02 16:21:00,21.6,52.3
2024-05-02 16:22:00,21.6,52.4
2024-05-02 16:23:00,21.5,52.5
2024-05-02 16:24:00,21.5,52.6
2024-05-02 16:25:00,21.5,52.7
2024-05-02 16:26:00,21.5,52.8
2024-05-02 16:27:00,21.5,52.8
2024-05-02 16:28:00,21.4,52.8
2024-05-02 16:29:00,21.4,52.9
2024-05-02 16:30:00,21.4,52.9
2024-05-02 16:31:00,21.4,53
2024-05-02 16:32:00,21.4,53
2024-05-02 16:33:00,21.3,53
2024-05-02 16:34:00,21.3,53.1
2024-05-02 16:35:00,21.3,53.1
2024-05-02 16:36:00,21.3,53.1
2024-05-02 16:37:00,21.3,53.1
2024-05-02 16:38:00,21.2,53.1
2024-05-02 16:39:00,21.2,53.1
2024-05-02 16:40:00,21.2,53.2
2024-05-02 16:41:00,21.2,53.2
2024-05-02 16:42:00,21.2,53.2
2024-05-02 16:43:00,21.2,53.3
2024-05-02 16:44:00,21.2,53.3
2024-05-02 16:45:00,21.2,53.3
2024-05-02 16:46:00,21.2,53.3
2024-05-02 16:47:00,21.1,53.3
2024-05-02 16:48:00,21.1,53.3
2024-05-02 16:49:00,21.1,53.4
2024-05-02 16:50:00,21.1,53.3
2024-05-02 16:51:00,21.1,53
2024-05-02 16:52:00,21.1,53
2024-05-02 16:53:00,21.1,53.2
2024-05-02 16:54:00,21.1,53.4
2024-05-02 16:55:00,21.1,53.4
2024-05-02 16:56:00,21,53.3
2024-05-02 16:57:00,21,53.3
2024-05-02 16:58:00,21,53.3
2024-05-02 16:59:00,21,53.1
2024-05-02 17:00:00,21,53.3
2024-05-02 17:01:00,21,52.9
2024-05-02 17:02:00,21,52.9
2024-05-02 17:03:00,21,53
2024-05-02 17:04:00,21,52.9
2024-05-02 17:05:00,21,52.8
2024-05-02 17:06:00,21,53.1
2024-05-02 17:07:00,21,52.8
2024-05-02 17:08:00,21,52.8
2024-05-02 17:09:00,21,53.1
2024-05-02 17:10:00,21,53
2024-05-02 17:11:00,21,53
2024-05-02 17:12:00,21,53
2024-05-02 17:13:00,21,52.9
2024-05-02 17:14:00,21,52.9
2024-05-02 17:15:00,21,52.9
2024-05-02 17:16:00,21,53.1
2024-05-02 17:17:00,20.9,52.6
2024-05-02 17:18:00,20.9,52.7
2024-05-02 17:19:00,20.9,52.9
2024-05-02 17:20:00,20.9,52.8
2024-05-02 17:21:00,20.9,53
2024-05-02 17:22:00,20.9,52.7
2024-05-02 17:23:00,20.9,52.9
2024-05-02 17:24:00,20.9,53
2024-05-02 17:25:00,20.9,53.1
2024-05-02 17:26:00,20.9,53.1
2024-05-02 17:27:00,20.9,53.2
2024-05-02 17:28:00,20.9,53
2024-05-02 17:29:00,20.9,53.1
2024-05-02 17:30:00,20.9,53
2024-05-02 17:31:00,20.9,53.1
2024-05-02 17:32:00,20.9,53.1
2024-05-02 17:33:00,20.9,53
2024-05-02 17:34:00,20.9,53
2024-05-02 17:35:00,20.9,53
2024-05-02 17:36:00,20.9,52.9
2024-05-02 17:37:00,20.9,52.9
2024-05-02 17:38:00,20.9,52.9
2024-05-02 17:39:00,20.9,52.9
2024-05-02 17:40:00,20.9,52.9
2024-05-02 17:41:00,20.9,52.9
2024-05-02 17:42:00,20.9,52.9
2024-05-02 17:43:00,20.9,52.8
2024-05-02 17:44:00,20.9,52.8
2024-05-02 17:45:00,20.9,52.7
2024-05-02 17:46:00,20.9,52.7
2024-05-02 17:47:00,20.9,52.8
2024-05-02 17:48:00,20.9,52.7
2024-05-02 17:49:00,20.9,52.7
2024-05-02 17:50:00,20.9,52.7
2024-05-02 17:51:00,20.9,52.7
2024-05-02 17:52:00,20.9,52.6
2024-05-02 17:53:00,20.9,52.7
2024-05-02 17:54:00,20.9,52.6
2024-05-02 17:55:00,20.9,52.5
2024-05-02 17:56:00,20.9,52.5
2024-05-02 17:57:00,20.9,52.6
2024-05-02 17:58:00,20.9,52.5
2024-05-02 17:59:00,20.9,52.5
2024-05-02 18:00:00,21,52.4
2024-05-02 18:01:00,20.9,52.5
2024-05-02 18:02:00,20.9,52.6
2024-05-02 18:03:00,20.9,52.5
2024-05-02 18:04:00,20.9,52.5
2024-05-02 18:05:00,20.9,52.4
2024-05-02 18:06:00,21,52.4
2024-05-02 18:07:00,20.9,52.4
2024-05-02 18:08:00,20.9,52.4
2024-05-02 18:09:00,20.9,52.4
2024-05-02 18:10:00,20.9,52.3
2024-05-02 18:11:00,20.9,52.3
2024-05-02 18:12:00,20.9,52.3
2024-05-02 18:13:00,20.9,52.3
2024-05-02 18:14:00,20.9,52.2
2024-05-02 18:15:00,20.9,52.2
2024-05-02 18:16:00,20.9,52.3
2024-05-02 18:17:00,20.9,52.2
2024-05-02 18:18:00,20.9,52.1
2024-05-02 18:19:00,21,52.1
2024-05-02 18:20:00,21,52.1
2024-05-02 18:21:00,20.9,52.1
2024-05-02 18:22:00,21,52.2
2024-05-02 18:23:00,20.9,52.1
2024-05-02 18:24:00,21,52.1
2024-05-02 18:25:00,20.9,52.1
2024-05-02 18:26:00,21,52.1
2024-05-02 18:27:00,20.9,52.1
2024-05-02 18:28:00,20.9,52.1
2024-05-02 18:29:00,20.9,52.1
2024-05-02 18:30:00,20.9,52.2
2024-05-02 18:31:00,21,52.1
2024-05-02 18:32:00,21,52.2
2024-05-02 18:33:00,20.9,52.2
2024-05-02 18:34:00,20.9,52.2
2024-05-02 18:35:00,20.9,52.1
2024-05-02 18:36:00,20.9,52.2
2024-05-02 18:37:00,20.9,52.1
2024-05-02 18:38:00,20.9,52.2
2024-05-02 18:39:00,20.9,51.7
2024-05-02 18:40:00,20.9,51.4